Order ID,Order Value,Delivery Fee,Cuisine,Meal Type,City,Time Taken for Delivery,Age Group,Restaurant Segment,Company Type,Customer Rating,Total Revenue
ORD100000,543.27,45,Chinese,Breakfast,Delhi,19,36-50,Premium,Individual,5,588.27
ORD100001,1148.25,20,Fast Food,Dinner,Chennai,45,50+,Premium,Corporate,2,1168.25
ORD100002,918.59,0,Indian,Dinner,Hyderabad,17,18-25,Casual,Corporate,5,918.59
ORD100003,778.59,30,Indian,Dinner,Mumbai,52,36-50,Fast-Food,Corporate,1,808.59
ORD100004,313.82,20,Fast Food,Lunch,Chennai,58,36-50,Fast-Food,Individual,1,333.82
ORD100005,313.79,30,Fast Food,Lunch,Chennai,58,50+,Fast-Food,Individual,1,343.79
ORD100006,210.99,0,Fast Food,Evening Snack,Bangalore,36,18-25,Fast-Food,Individual,3,210.99
ORD100007,1059.48,30,Fast Food,Breakfast,Delhi,58,18-25,Casual,Corporate,1,1089.48
ORD100008,781.17,20,Indian,Dinner,Chennai,46,36-50,Casual,Corporate,2,801.17
ORD100009,893.48,20,Fast Food,Lunch,Delhi,16,26-35,Casual,Corporate,5,913.48
ORD100010,171.61,60,Continental,Lunch,Hyderabad,20,36-50,Premium,Individual,4,231.61
ORD100011,1168.41,20,Indian,Breakfast,Delhi,27,36-50,Premium,Corporate,4,1188.41
ORD100012,1024.06,30,Chinese,Lunch,Delhi,52,36-50,Premium,Corporate,1,1054.06
ORD100013,372.96,30,Fast Food,Lunch,Chennai,31,36-50,Casual,Individual,3,402.96
ORD100014,340.92,0,Fast Food,Lunch,Delhi,38,50+,Premium,Individual,3,340.92
ORD100015,342.57,30,Italian,Lunch,Mumbai,55,18-25,Fast-Food,Individual,1,372.57
ORD100016,469.45,20,Continental,Lunch,Chennai,64,50+,Premium,Individual,1,489.45
ORD100017,700.99,30,Continental,Dinner,Chennai,52,50+,Casual,Corporate,1,730.99
ORD100018,603.54,30,Italian,Breakfast,Mumbai,61,50+,Casual,Individual,1,633.54
ORD100019,455.79,20,Continental,Lunch,Hyderabad,28,36-50,Casual,Individual,4,475.79
ORD100020,792.45,20,Italian,Breakfast,Mumbai,38,26-35,Casual,Corporate,3,812.45
ORD100021,296.47,30,Continental,Dinner,Delhi,29,18-25,Fast-Food,Individual,4,326.47
ORD100022,456.75,30,Italian,Dinner,Chennai,20,26-35,Premium,Individual,4,486.75
ORD100023,534.68,30,Italian,Evening Snack,Hyderabad,54,50+,Premium,Individual,1,564.68
ORD100024,628.87,0,Chinese,Evening Snack,Chennai,52,50+,Casual,Individual,1,628.87
ORD100025,974.43,30,Italian,Breakfast,Mumbai,21,26-35,Premium,Corporate,4,1004.43
ORD100026,359.66,20,Fast Food,Lunch,Hyderabad,22,26-35,Fast-Food,Individual,4,379.66
ORD100027,689.95,30,Fast Food,Evening Snack,Chennai,40,26-35,Casual,Corporate,3,719.95
ORD100028,772.04,0,Italian,Dinner,Hyderabad,26,50+,Premium,Corporate,4,772.04
ORD100029,198.77,20,Mexican,Breakfast,Hyderabad,60,50+,Premium,Individual,1,218.77
ORD100030,787.92,30,Continental,Breakfast,Chennai,31,18-25,Premium,Corporate,3,817.92
ORD100031,329.05,20,Fast Food,Lunch,Chennai,32,18-25,Premium,Individual,3,349.05
ORD100032,218.3,45,Continental,Lunch,Delhi,57,50+,Casual,Individual,1,263.3
ORD100033,1146.33,30,Indian,Evening Snack,Mumbai,61,26-35,Casual,Corporate,1,1176.33
ORD100034,1163.91,45,Italian,Dinner,Mumbai,48,26-35,Fast-Food,Corporate,2,1208.91
ORD100035,998.82,20,Italian,Evening Snack,Bangalore,60,18-25,Casual,Corporate,1,1018.82
ORD100036,469.84,0,Continental,Dinner,Bangalore,18,50+,Premium,Individual,5,469.84
ORD100037,252.56,30,Fast Food,Evening Snack,Bangalore,22,18-25,Premium,Individual,4,282.56
ORD100038,868.44,20,Indian,Lunch,Mumbai,43,18-25,Premium,Corporate,2,888.44
ORD100039,612.16,20,Chinese,Dinner,Bangalore,19,36-50,Fast-Food,Individual,5,632.16
ORD100040,278.14,30,Italian,Breakfast,Delhi,50,36-50,Casual,Individual,2,308.14
ORD100041,669.94,30,Mexican,Evening Snack,Mumbai,21,36-50,Casual,Individual,4,699.94
ORD100042,186.11,0,Continental,Dinner,Hyderabad,44,26-35,Casual,Individual,2,186.11
ORD100043,1104.79,30,Indian,Lunch,Delhi,50,50+,Premium,Corporate,2,1134.79
ORD100044,421.72,20,Italian,Breakfast,Chennai,22,50+,Premium,Individual,4,441.72
ORD100045,845.65,30,Fast Food,Breakfast,Bangalore,42,50+,Premium,Corporate,2,875.65
ORD100046,477.3,20,Indian,Dinner,Chennai,61,50+,Fast-Food,Individual,1,497.3
ORD100047,696.07,20,Mexican,Lunch,Chennai,22,36-50,Fast-Food,Corporate,4,716.07
ORD100048,724.05,30,Indian,Lunch,Bangalore,17,26-35,Premium,Corporate,5,754.05
ORD100049,344.1,30,Continental,Lunch,Chennai,32,26-35,Fast-Food,Individual,3,374.1
ORD100050,1168.06,20,Chinese,Lunch,Mumbai,27,36-50,Fast-Food,Corporate,4,1188.06
ORD100051,963.89,30,Chinese,Dinner,Hyderabad,63,26-35,Fast-Food,Corporate,1,993.89
ORD100052,1136.47,20,Chinese,Lunch,Hyderabad,41,36-50,Casual,Corporate,2,1156.47
ORD100053,1089.57,45,Fast Food,Breakfast,Bangalore,32,50+,Fast-Food,Corporate,3,1134.57
ORD100054,777.79,30,Fast Food,Lunch,Delhi,60,36-50,Premium,Corporate,1,807.79
ORD100055,1117.97,30,Indian,Lunch,Chennai,19,50+,Casual,Corporate,5,1147.97
ORD100056,242.92,20,Fast Food,Lunch,Delhi,50,50+,Fast-Food,Individual,2,262.92
ORD100057,355.78,20,Italian,Lunch,Mumbai,37,18-25,Premium,Individual,3,375.78
ORD100058,197.49,20,Italian,Dinner,Chennai,35,36-50,Fast-Food,Individual,3,217.49
ORD100059,491.6,20,Italian,Dinner,Hyderabad,61,18-25,Premium,Individual,1,511.6
ORD100060,558.11,20,Mexican,Dinner,Delhi,41,36-50,Premium,Individual,2,578.11
ORD100061,434.92,20,Italian,Dinner,Chennai,38,36-50,Fast-Food,Individual,3,454.92
ORD100062,1020.17,30,Continental,Evening Snack,Hyderabad,56,18-25,Fast-Food,Corporate,1,1050.17
ORD100063,524.59,0,Indian,Dinner,Bangalore,55,18-25,Casual,Individual,1,524.59
ORD100064,444.98,45,Continental,Dinner,Mumbai,35,36-50,Fast-Food,Individual,3,489.98
ORD100065,719.83,0,Chinese,Lunch,Bangalore,52,26-35,Premium,Corporate,1,719.83
ORD100066,297.97,60,Continental,Dinner,Mumbai,21,50+,Casual,Individual,4,357.97
ORD100067,992.31,60,Continental,Evening Snack,Chennai,40,18-25,Premium,Corporate,3,1052.31
ORD100068,228.28,20,Continental,Dinner,Hyderabad,48,50+,Premium,Individual,2,248.28
ORD100069,1186.23,60,Mexican,Evening Snack,Mumbai,59,26-35,Fast-Food,Corporate,1,1246.23
ORD100070,960.86,45,Indian,Dinner,Mumbai,42,26-35,Premium,Corporate,2,1005.86
ORD100071,358.65,0,Fast Food,Evening Snack,Chennai,15,26-35,Fast-Food,Individual,5,358.65
ORD100072,155.8,60,Italian,Lunch,Mumbai,37,18-25,Premium,Individual,3,215.8
ORD100073,1006.23,0,Continental,Evening Snack,Delhi,62,26-35,Casual,Corporate,1,1006.23
ORD100074,892.2,0,Fast Food,Dinner,Delhi,56,18-25,Fast-Food,Corporate,1,892.2
ORD100075,915.46,30,Chinese,Evening Snack,Hyderabad,23,26-35,Casual,Corporate,4,945.46
ORD100076,959.83,0,Fast Food,Dinner,Chennai,42,50+,Fast-Food,Corporate,2,959.83
ORD100077,227.75,0,Indian,Evening Snack,Bangalore,33,50+,Casual,Individual,3,227.75
ORD100078,526.39,60,Indian,Lunch,Chennai,27,36-50,Fast-Food,Individual,4,586.39
ORD100079,271.66,60,Continental,Lunch,Bangalore,18,50+,Casual,Individual,5,331.66
ORD100080,1056.26,30,Fast Food,Dinner,Bangalore,57,36-50,Casual,Corporate,1,1086.26
ORD100081,804.46,30,Indian,Dinner,Chennai,63,50+,Fast-Food,Corporate,1,834.46
ORD100082,497.44,60,Indian,Dinner,Mumbai,40,18-25,Fast-Food,Individual,3,557.44
ORD100083,216.74,0,Fast Food,Dinner,Chennai,34,50+,Premium,Individual,3,216.74
ORD100084,476.53,60,Indian,Lunch,Delhi,64,36-50,Premium,Individual,1,536.53
ORD100085,491.44,20,Indian,Evening Snack,Bangalore,43,36-50,Fast-Food,Individual,2,511.44
ORD100086,916.09,45,Chinese,Breakfast,Mumbai,54,26-35,Fast-Food,Corporate,1,961.09
ORD100087,819.44,30,Chinese,Breakfast,Delhi,55,18-25,Casual,Corporate,1,849.44
ORD100088,1081.57,60,Chinese,Lunch,Delhi,45,50+,Casual,Corporate,2,1141.57
ORD100089,645.83,45,Italian,Evening Snack,Bangalore,26,26-35,Premium,Individual,4,690.83
ORD100090,275.57,45,Chinese,Dinner,Delhi,48,50+,Premium,Individual,2,320.57
ORD100091,898.91,30,Italian,Lunch,Hyderabad,48,50+,Premium,Corporate,2,928.91
ORD100092,948.82,45,Continental,Dinner,Delhi,61,26-35,Casual,Corporate,1,993.82
ORD100093,739.34,30,Indian,Dinner,Hyderabad,38,26-35,Casual,Corporate,3,769.34
ORD100094,959.52,0,Chinese,Lunch,Mumbai,24,26-35,Casual,Corporate,4,959.52
ORD100095,668.49,30,Continental,Dinner,Chennai,16,26-35,Premium,Individual,5,698.49
ORD100096,698.87,0,Indian,Lunch,Hyderabad,43,26-35,Fast-Food,Corporate,2,698.87
ORD100097,598.92,45,Continental,Evening Snack,Chennai,39,50+,Premium,Individual,3,643.92
ORD100098,176.69,0,Fast Food,Lunch,Hyderabad,31,26-35,Casual,Individual,3,176.69
ORD100099,263.29,60,Mexican,Dinner,Chennai,61,18-25,Premium,Individual,1,323.29
ORD100100,183.0,20,Indian,Breakfast,Chennai,32,36-50,Premium,Individual,3,203.0
ORD100101,818.23,0,Indian,Evening Snack,Delhi,16,26-35,Premium,Corporate,5,818.23
ORD100102,480.07,60,Italian,Dinner,Delhi,45,26-35,Premium,Individual,2,540.0699999999999
ORD100103,684.0,0,Fast Food,Lunch,Mumbai,64,50+,Casual,Corporate,1,684.0
ORD100104,1102.94,20,Fast Food,Dinner,Delhi,20,26-35,Premium,Corporate,4,1122.94
ORD100105,411.76,30,Indian,Lunch,Hyderabad,39,26-35,Casual,Individual,3,441.76
ORD100106,580.9,20,Continental,Evening Snack,Chennai,57,26-35,Premium,Individual,1,600.9
ORD100107,943.33,30,Mexican,Lunch,Hyderabad,55,50+,Casual,Corporate,1,973.33
ORD100108,390.24,30,Mexican,Dinner,Bangalore,19,26-35,Fast-Food,Individual,5,420.24
ORD100109,230.83,60,Chinese,Breakfast,Delhi,31,36-50,Casual,Individual,3,290.83000000000004
ORD100110,454.24,0,Chinese,Dinner,Chennai,29,50+,Casual,Individual,4,454.24
